;form;lemmi;postag
0;"""";"['""']";['u--------']
1;,;[','];['u--------']
2;-δὲ;['δέ'];['c--------']
3;-δ’;['δέ'];['c--------']
4;-τε;['τε'];['c--------']
5;-τ’;['τε'];['c--------']
6;.;['.'];['u--------']
7;";";"[';']";['u--------']
8;E;['E'];['z--------']
9;·;['·'];['u--------']
10;Ἄγιδι;['Ἄγις'];['n-s---md-']
11;Ἄγιδος;['Ἄγις'];['n-s---mg-']
12;Ἄμμωνα;['Ἄμμων'];['n-s---ma-']
13;Ἄρατος;['Ἄρατος'];['n-s---mn-']
14;Ἄρευς;['Ἄρευς'];['n-s---mn-']
15;Ἄρεως;['Ἄρης'];['n-s---mg-']
16;Ἆγι;['Ἄγις'];['n-s---mv-']
17;Ἆγιν;['Ἄγις'];['n-s---ma-']
18;Ἆγις;['Ἄγις'];['n-s---mn-']
19;Ἀγησίλαον;['Ἀγησίλαος'];['n-s---ma-']
20;Ἀγησίλαος;['Ἀγησίλαος'];['n-s---mn-']
21;Ἀγησίπολιν;['Ἀγησίπολις'];['n-s---fa-']
22;Ἀγησίπολις;['Ἀγησίπολις'];['n-s---fn-']
23;Ἀγησιλάου;['Ἀγησίλαος'];['n-s---mg-']
24;Ἀγησιστράτα;['Ἀγησιστράτα'];['n-s---fn-']
25;Ἀγησιστράταν;['Ἀγησιστράτη'];['n-s---fa-']
26;Ἀγησιστράτας;['Ἀγησιστράτα'];['n-s---fg-']
27;Ἀγιάδης;['Ἀγιάδης'];['n-s---mn-']
28;Ἀθηναίων;['Ἀθηναῖος'];['a-p---mg-']
29;Ἀκρότατον;['Ἀκρότατος'];['n-s---ma-']
30;Ἀκρότατος;['Ἀκρότατος'];['n-s---mn-']
31;Ἀκροτάτου;['Ἀκρότατος'];['n-s---mg-']
32;Ἀμύκλα;['Ἀμύκλης'];['n-s---mg-']
33;Ἀμφάρην;['Ἀμφάρης'];['n-s---ma-']
34;Ἀμφάρης;['Ἀμφάρης'];['n-s---mn-']
35;Ἀναλαβοῦσα;['Ἀναλαμβάνω'];['v-sapafn-']
36;Ἀντίπατρον;['Ἀντίπατρος'];['n-s---ma-']
37;Ἀντιπάτρου;['Ἀντίπατρος'];['n-s---mg-']
38;Ἀπόλλωνα;['Ἀπόλλων'];['n-s---ma-']
39;Ἀράτου;['Ἄρατος'];['n-s---mg-']
40;Ἀράτῳ;['Ἄρατος'];['n-s---md-']
41;Ἀριστοδήμου;['Ἀριστόδημος'];['n-s---mg-']
42;Ἀριστομένους;['Ἀριστομένης'];['n-s---mg-']
43;Ἀρκεσίλαος;['Ἀρκεσίλαος'];['n-s---mn-']
44;Ἀρχίδαμος;['Ἀρχίδαμος'];['n-s---mn-']
45;Ἀρχιδάμου;['Ἀρχίδαμος'];['n-s---mg-']
46;Ἀρχιδαμίαν;['Ἀρχιδαμία'];['n-s---fa-']
47;Ἀρχιδαμίας;['Ἀρχιδαμία'];['n-s---fg-']
48;Ἀσίαν;['Ἀσία'];['n-s---fa-']
49;Ἀσιανῆς;['Ἀσιανός'];['a-s---fg-']
50;Ἀτλαντίδων;['Ἀτλαντίς'];['n-p---fg-']
51;Ἀχαιῶν;['Ἀχαιός'];['a-p---mg-']
52;Αἰτωλοὶ;['Αἰτωλός'];['a-p---mn-']
53;Βάτων;['Βάτων'];['n-s---mn-']
54;Γαΐῳ;['Γαῖος'];['n-s---md-']
55;Γράγχοις;['Γράγχος'];['n-p---md-']
56;Δάφνην;['Δάφνη'];['n-s---fa-']
57;Δαμοχάρης;['Δαμοχάρης'];['n-s---mn-']
58;Δελφῶν;['Δελφοί'];['n-p---mg-']
59;Δεχάδα;['Δεχάς'];['n-s---fa-']
60;Διὸς;['Ζεύς'];['n-s---mg-']
61;Δωριεῖς;['Δωριεύς'];['n-p---mn-']
62;Ἐκπρέπη;['Ἐκπρέπη'];['n-s---ma-']
63;Ἐκφάνους;['Ἐκφάνης'];['n-s---mg-']
64;Ἐπιτάδευς;['Ἐπιτάδευς'];['n-s---mn-']
65;Ἕλληνας;['Ἕλλην'];['n-p---ma-']
66;Ἑλλήνων;['Ἕλλην'];['n-p---mg-']
67;Ἑλληνικὰ;['Ἑλληνικός'];['a-p---na-']
68;Εὐδαμίδα;['Εὐδαμίδας'];['n-s---mg-']
69;Εὐδαμίδας;['Εὐδαμίδας'];['n-s---mn-']
70;Εὐρυπωντίδης;['Εὐρυπωντίδης'];['n-s---mn-']
71;Ἥρας;['Ἥρα'];['n-s---fg-']
72;Ἡρακλείδην;['Ἡρακλείδης'];['n-s---ma-']
73;Θάλητα;['Θάλης'];['n-s---ma-']
74;Θαλάμαις;['Θαλάμαι'];['n-p---fd-']
75;Θεόπομπον;['Θεόπομπος'];['n-s---ma-']
76;Θεόφραστος;['Θεόφραστος'];['n-s---mn-']
77;Ἰξίονι;['Ἰξίων'];['n-s---md-']
78;Ἰταλίας;['Ἰταλία'];['n-s---fg-']
79;Ἱππομέδων;['Ἱππομέδων'];['n-s---mn-']
80;Κασάνδραν;['Κασσάνδρη'];['n-s---fa-']
81;Κενταύρων;['Κένταυρος'];['n-p---mg-']
82;Κλεόμβροτον;['Κλεόμβροτος'];['n-s---ma-']
83;Κλεόμβροτος;['Κλεόμβροτος'];['n-s---mn-']
84;Κλεομβρότου;['Κλεόμβροτος'];['n-s---mg-']
85;Κλεομβρότῳ;['Κλεόμβροτος'];['n-s---md-']
86;Κλεομένην;['Κλεομένης'];['n-s---ma-']
87;Κλεομένης;['Κλεομένης'];['n-s---mn-']
88;Κλεομένους;['Κλεομένης'];['n-s---mg-']
89;Κλεώνυμον;['Κλεώνυμος'];['n-s---ma-']
90;Κλεωνύμου;['Κλεώνυμος'];['n-s---mg-']
91;Κόρινθον;['Κόρινθος'];['n-s---fa-']
92;Λάκωνες;['Λάκων'];['n-p---mn-']
93;Λακεδαίμονι;['Λακεδαίμων'];['n-s---fd-']
94;Λακεδαίμονος;['Λακεδαίμων'];['n-s---fg-']
95;Λακεδαιμόνιοι;['Λακεδαιμόνιος'];['a-p---mn-']
96;Λακεδαιμονίοις;['Λακεδαιμόνιος'];['a-p---md-']
97;Λακεδαιμονίους;['Λακεδαιμόνιος'];['a-p---ma-']
98;Λακεδαιμονίων;['Λακεδαιμόνιος'];['a-p---mg-']
99;Λακωνικὰς;['Λακωνικός'];['a-p---fa-']
100;Λακωνικὸν;['Λακωνικός'];['a-s---na-']
101;Λακωνικοῦ;['Λακωνικός'];['a-s---ng-']
102;Λακωνικώτατον;['Λακωνικός'];['a-s---nas']
103;Λακωνικῶν;['Λακωνικός'];['a-p---mg-']
104;Λεῦκτρα;['Λεῦκτρα'];['n-p---na-']
105;Λεωνίδᾳ;['Λεωνίδας'];['n-s---md-']
106;Λεωνίδαν;['Λεωνίδας'];['n-s---ma-']
107;Λεωνίδας;['Λεωνίδας'];['n-s---mn-']
108;Λεωνίδου;['Λεωνίδας'];['n-s---mg-']
109;Λίβυος;['Λίβυς'];['n-s---mg-']
110;Λύσανδρον;['Λύσανδρος'];['n-s---ma-']
111;Λύσανδρος;['Λύσανδρος'];['n-s---mn-']
112;Λυκούργῳ;['Λυκοῦργος'];['n-s---md-']
113;Λυκοῦργον;['Λυκοῦργος'];['n-s---ma-']
114;Λυκοῦργος;['Λυκοῦργος'];['n-s---mn-']
115;Λυσάνδρου;['Λύσανδρος'];['n-s---mg-']
116;Λυσάνδρῳ;['Λύσανδρος'];['n-s---md-']
117;Μαλέαν;['Μαλέα'];['n-s---fa-']
118;Μανδροκλείδᾳ;['Μανδροκλείδης'];['n-s---md-']
119;Μανδροκλείδας;['Μανδροκλείδης'];['n-s---mn-']
120;Μανδύριον;['Μανδύριον'];['n-s---na-']
121;Μαρδόνιον;['Μαρδόνιος'];['n-s---ma-']
122;Μεγάλην;['Μεγάλη'];['n-s---fa-']
123;Μεγαρικῆς;['Μεγαρικός'];['a-s---fg-']
124;Μεσσαπίων;['Μεσσάπιος'];['n-p---mg-']
125;Μεσσηνίων;['Μεσσήνιος'];['a-p---mg-']
126;Ὀλυμπίας;['Ὀλυμπία'];['n-s---fg-']
127;Πασιφάαν;['Πασιφάη'];['n-s---fa-']
128;Πασιφάας;['Πασιφάη'];['n-s---fg-']
129;Παυσανίαν;['Παυσανίας'];['n-s---ma-']
130;Παυσανίας;['Παυσανίας'];['n-s---mn-']
131;Παυσανίου;['Παυσανίας'];['n-s---mg-']
132;Πελλήνην;['Πελλήνη'];['n-s---fa-']
133;Πελοπόννησον;['Πελοπόννησος'];['n-s---fa-']
134;Πελοποννήσου;['Πελοπόννησος'];['n-s---fg-']
135;Πλαταιαῖς;['Πλάταια'];['n-p---fd-']
136;Πλειστώνακτα;['Πλειστώναξ'];['n-s---ma-']
137;Πλειστῶναξ;['Πλειστώναξ'];['n-s---mn-']
138;Ποσειδῶνος;['Ποσειδῶν'];['n-s---mg-']
139;Πριάμου;['Πρίαμος'];['n-s---mg-']
140;Πτολεμαίου;['Πτολεμαῖος'];['n-s---mg-']
141;Σέλευκον;['Σέλευκος'];['n-s---ma-']
142;Σελασίαν;['Σελασία'];['n-s---fa-']
143;Σελεύκου;['Σέλευκος'];['n-s---mg-']
144;Σινωπεὺς;['Σινωπεύς'];['n-s---mn-']
145;Σοφοκλέους;['Σοφοκλῆς'];['n-s---mg-']
146;Σπάρτη;['Σπάρτη'];['n-s---fn-']
147;Σπάρτῃ;['Σπάρτη'];['n-s---fd-']
148;Σπάρτης;['Σπάρτη'];['n-s---fg-']
149;Σπαρτιάταις;['Σπαρτιάτης'];['n-p---md-']
150;Σπαρτιᾶται;['Σπαρτιάτης'];['n-p---mn-']
151;Σπαρτιατῶν;['Σπαρτιάτης'];['n-p---mg-']
152;Ταΰγετον;['Ταύγετον'];['n-s---na-']
153;Τέρπανδρόν;['Τέρπανδρος'];['n-s---ma-']
154;Τεγέαν;['Τεγέα'];['n-s---fa-']
155;Τεγέας;['Τεγέα'];['n-s---fg-']
156;Τιβερίῳ;['Τιβέριος'];['n-s---md-']
157;Τιμοθέῳ;['Τιμόθεος'];['n-s---md-']
158;Φερεκύδην;['Φερεκύδης'];['n-s---ma-']
159;Φιλιππικῶν;['Φιλιππικός'];['a-p---mg-']
160;Φρύνιδος;['Φρύννις'];['n-s---mg-']
161;Φύλαρχος;['Φύλαρχος'];['n-s---mn-']
162;Φωκίων;['Φωκίων'];['n-s---mn-']
163;Φωκίωνι;['Φωκίων'];['n-s---md-']
164;Χαλκίοικον;['Χαλκίοικος'];['n-s---fa-']
165;Χαλκιοίκου;['Χαλκίοικος'];['n-s---fg-']
166;Χιλωνὶς;['Χιλωνίς'];['n-s---fn-']
167;Χιλωνίς;['Χιλωνίς'];['n-s---fn-']
168;ἂν;['ἐάν', 'ἄν'];['c--------', 'g--------']
169;ᾄδοντες;['ἀείδω'];['v-pppamn-']
170;ἄγαν;['ἄγαν'];['d--------']
171;ἄγειν;['ἄγω'];['v--pna---']
172;ἄγω;['ἄγω'];['v1spia---']
173;ἄδειαν;['ἄδεια'];['n-s---fa-']
174;ἄλλαις;['ἄλλος'];['p-p---fd-']
175;ἄλλας;['ἄλλος'];['p-p---fa-']
176;ἄλλοι;['ἄλλος'];['p-p---mn-']
177;ἄλλοις;['ἄλλος'];['p-p---md-']
178;ἄλλον;['ἄλλος'];['p-s---ma-']
179;ἄλλος;['ἄλλος'];['p-s---mn-']
180;ἄλλους;['ἄλλος'];['p-p---ma-']
181;ἄλλων;['ἄλλος'];['p-p---mg-', 'p-p---ng-']
182;ἄλλως;['ἄλλος'];['d--------']
183;ἄλυτον;['ἄλυτος'];['a-s---fa-']
184;ἄμετρος;['ἄμετρος'];['a-s---fn-']
185;ἄνδρα;['ἀνήρ'];['n-s---ma-']
186;ἄνδρας;['ἀνήρ'];['n-p---ma-']
187;ἄνευ;['ἄνευ'];['r--------']
188;ἄνθρωπε;['ἄνθρωπος'];['n-s---mv-']
189;ἄνθρωποι;['ἄνθρωπος'];['n-p---mn-']
190;ἄπορος;['ἄπορος'];['a-s---mn-']
191;ἄρα;['ἄρα'];['g--------']
192;ἄρρενος;['ἄρσην'];['a-s---ng-']
193;ἄρχειν;['ἄρχω'];['v--pna---']
194;ἄρχοντα;['ἄρχων'];['n-s---ma-']
195;ἄρχοντες;['ἄρχων'];['n-p---mn-']
196;ἄρχουσι;['ἄρχων'];['n-p---md-']
197;ἄτιμος;['ἄτιμος'];['a-s---mn-']
198;ἄχρι;['ἄχρι'];['r--------']
199;ἀβλαβῶς;['ἀβλαβής'];['d--------']
